date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200604,0050,元大台灣50,87.50,87.75,87.15,87.60,+0.80,0.92,15036553,6182,1315498861,37000,1396000,-1359000,34000,0,34000,3931000,2324000,1607000,282000
20200604,0051,元大中型100,35.73,35.87,35.69,35.69,+0.13,0.37,24650,20,881521,0,0,0,0,0,0,6000,6000,0,0
20200604,0052,富邦科技,66.15,66.55,66.15,66.40,+0.95,1.45,157750,47,10461775,0,0,0,0,0,0,100000,130000,-30000,-30000
20200604,0053,元大電子,40.20,40.49,40.20,40.22,+0.30,0.75,35000,25,1408850,0,0,0,0,0,0,17000,4000,13000,13000
20200604,0054,元大台商50,24.21,24.21,23.90,24.00,+0.12,0.5,28000,7,671590,0,0,0,0,0,0,25000,4000,21000,21000
20200604,0055,元大MSCI金融,17.97,17.97,17.78,17.82,+0.03,0.17,31100,22,554408,0,0,0,0,0,0,17000,2000,15000,15000
20200604,0056,元大高股息,28.67,28.75,28.55,28.67,+0.19,0.67,22446841,8173,642934452,155100,42000,113100,0,65000,-65000,11534000,1712000,9822000,9870100
20200604,0057,富邦摩台,57.75,57.75,57.75,57.75,+0.55,0.96,21000,3,1212750,0,0,0,0,0,0,20000,21000,-1000,-1000
20200604,0061,元大寶滬深,17.77,17.78,17.53,17.57,-0.19,-1.07,560253,143,9861508,2000,2000,0,0,0,0,344000,0,344000,344000
20200604,006203,元大MSCI台灣,40.91,41.10,40.84,40.95,+0.28,0.69,18000,12,736940,0,0,0,0,0,0,16000,0,16000,16000
20200604,006204,永豐臺灣加權,57.10,57.10,56.85,56.85,+0.45,0.8,22000,4,1251000,0,0,0,0,0,0,21000,22000,-1000,-1000
20200604,006205,富邦上証,29.56,29.56,29.12,29.20,-0.25,-0.85,2337367,218,68320288,408000,129000,279000,0,0,0,1531000,1144000,387000,666000
20200604,006206,元大上證50,31.04,31.04,30.51,30.64,-0.19,-0.62,382149,64,11729676,3000,63000,-60000,0,0,0,322000,181000,141000,81000
20200604,006207,FH滬深,23.18,23.21,22.97,23.00,-0.15,-0.65,360000,50,8312560,117000,110000,7000,0,0,0,111000,138000,-27000,-20000
20200604,006208,富邦台50,49.98,50.05,49.72,49.97,+0.26,0.52,2049342,582,102275510,15000,10000,5000,0,0,0,1631000,591000,1040000,1045000
20200604,00625K,富邦上証+R,7.02,7.02,7.02,7.02,-0.08,-1.13,50000,2,351000,0,0,0,0,0,0,50000,50000,0,0
20200604,00631L,元大台灣50正2,48.45,48.48,47.65,48.15,+0.64,1.35,5952618,2122,286601088,1068000,871000,197000,0,0,0,938000,906000,32000,229000
20200604,00632R,元大台灣50反1,9.78,9.86,9.76,9.79,-0.07,-0.71,106789996,9901,1046744133,1478000,1970000,-492000,0,0,0,23795000,30621000,-6826000,-7318000
20200604,00633L,富邦上証正2,44.68,44.80,43.81,44.08,-0.29,-0.65,10107000,1675,448248610,699000,661000,38000,0,0,0,3027000,4191000,-1164000,-1126000
20200604,00634R,富邦上証反1,5.55,5.60,5.53,5.58,+0.02,0.36,873000,111,4862620,0,0,0,0,0,0,366000,151000,215000,215000
20200604,00635U,元大S&P黃金,23.97,24.02,23.90,23.96,-0.33,-1.36,4089620,1087,97967231,0,853000,-853000,0,0,0,1017000,2148000,-1131000,-1984000
20200604,00636,國泰中國A50,20.73,20.81,20.54,20.60,-0.11,-0.53,874057,226,18024988,78000,326000,-248000,0,0,0,354000,96000,258000,10000
20200604,00636K,國泰中國A50+U,6.87,6.87,6.87,6.87,-0.06,-0.87,100,1,687,0,0,0,0,0,0,100,100,0,0
20200604,00637L,元大滬深300正2,17.30,17.33,16.93,17.03,-0.12,-0.7,59009024,5588,1010226268,256000,7233000,-6977000,0,0,0,14269000,19899000,-5630000,-12607000
20200604,00638R,元大滬深300反1,11.15,11.25,11.13,11.20,+0.02,0.18,1362000,134,15260760,0,0,0,0,0,0,287000,813000,-526000,-526000
20200604,00639,富邦深100,11.57,11.57,11.45,11.52,-0.05,-0.43,1523386,154,17490074,175000,0,175000,0,0,0,1180000,1043000,137000,312000
20200604,00640L,富邦日本正2,19.47,19.53,19.05,19.35,+0.29,1.52,944000,210,18244810,4000,0,4000,0,0,0,791000,404000,387000,391000
20200604,00641R,富邦日本反1,13.73,13.87,13.68,13.76,-0.09,-0.65,957100,174,13173504,50000,169000,-119000,0,0,0,232000,264000,-32000,-151000
20200604,00642U,元大S&P石油,9.35,9.35,9.26,9.31,-0.08,-0.85,12661242,4144,117756832,25000,0,25000,0,0,0,50000,371000,-321000,-296000
20200604,00643,群益深証中小,14.00,14.00,13.73,13.82,-0.14,-1.0,462422,145,6401734,79000,79000,0,0,0,0,85000,76000,9000,9000
20200604,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200604,00645,富邦日本,20.74,20.76,20.61,20.70,+0.13,0.63,90751,25,1876468,0,0,0,0,0,0,77000,67000,10000,10000
20200604,00646,元大S&P500,28.41,28.44,28.34,28.42,+0.25,0.89,690822,374,19617651,42000,0,42000,0,0,0,265000,112000,153000,195000
20200604,00647L,元大S&P500正2,36.01,36.09,35.82,35.97,+0.60,1.7,877000,208,31524340,5000,7000,-2000,0,0,0,523000,168000,355000,353000
20200604,00648R,元大S&P500反1,10.53,10.57,10.51,10.52,-0.09,-0.85,3375000,309,35545850,0,0,0,0,0,0,2042000,700000,1342000,1342000
20200604,00650L,FH香港正2,22.51,22.71,21.97,22.15,+0.14,0.64,2562000,445,57297180,0,0,0,0,0,0,786000,1481000,-695000,-695000
20200604,00651R,FH香港反1,8.74,8.84,8.68,8.79,-0.01,-0.11,2101000,363,18433380,36000,44000,-8000,0,0,0,602000,1058000,-456000,-464000
20200604,00652,富邦印度,18.73,18.78,18.47,18.54,-0.16,-0.86,1278275,576,23795377,170000,3000,167000,0,0,0,215000,182000,33000,200000
20200604,00653L,富邦印度正2,18.42,18.50,17.95,18.05,-0.16,-0.88,20087010,4005,365478905,1747000,1894000,-147000,0,0,0,3390000,3217000,173000,26000
20200604,00654R,富邦印度反1,14.57,14.73,14.53,14.67,+0.03,0.2,223000,91,3268490,18000,31000,-13000,0,0,0,0,81000,-81000,-94000
20200604,00655L,國泰中國A50正2,32.53,32.69,31.93,32.14,-0.15,-0.46,4560050,753,147074207,67000,22000,45000,0,0,0,1920000,2241000,-321000,-276000
20200604,00656R,國泰中國A50反1,10.11,10.20,10.08,10.15,+0.02,0.2,232000,58,2353960,0,0,0,0,0,0,79000,68000,11000,11000
20200604,00657,國泰日經225,28.18,28.18,27.92,28.01,+0.05,0.18,226000,23,6318960,21000,0,21000,0,0,0,205000,224000,-19000,2000
20200604,00657K,國泰日經225+U,9.36,9.36,9.36,9.36,+0.01,0.11,100,1,936,0,0,0,0,0,0,100,100,0,0
20200604,00660,元大歐洲50,23.31,23.31,23.13,23.31,+0.58,2.55,101000,36,2351630,0,0,0,0,0,0,12000,72000,-60000,-60000
20200604,00661,元大日經225,28.62,28.62,28.62,28.62,+0.11,0.39,1000,1,28620,0,0,0,0,0,0,0,1000,-1000,-1000
20200604,00662,富邦NASDAQ,37.36,37.40,37.19,37.35,-0.01,-0.03,352512,204,13147498,0,0,0,0,0,0,164000,111000,53000,53000
20200604,00663L,國泰臺灣加權正2,43.47,43.58,42.88,43.21,+0.48,1.12,243000,62,10522520,0,35000,-35000,0,0,0,85000,90000,-5000,-40000
20200604,00664R,國泰臺灣加權反1,11.10,11.20,11.09,11.14,-0.07,-0.62,4116000,600,45814920,0,0,0,0,0,0,1436000,1488000,-52000,-52000
20200604,00665L,富邦恒生國企正2,22.00,22.07,21.39,21.56,+0.01,0.05,981000,130,21367520,89000,121000,-32000,0,0,0,736000,679000,57000,25000
20200604,00666R,富邦恒生國企反1,13.29,13.48,13.26,13.47,+0.05,0.37,426000,25,5695230,0,271000,-271000,0,0,0,410000,126000,284000,13000
20200604,00668,國泰美國道瓊,28.49,28.51,28.38,28.47,+0.39,1.39,546175,285,15534752,0,0,0,0,0,0,402000,42000,360000,360000
20200604,00668K,國泰美國道瓊+U,9.51,9.51,9.51,9.51,+0.13,1.39,100,1,951,0,0,0,0,0,0,100,100,0,0
20200604,00669R,國泰美國道瓊反1,11.38,11.42,11.36,11.38,-0.18,-1.56,11010853,1412,125384637,5000,0,5000,0,0,0,934000,4638000,-3704000,-3699000
20200604,00670L,富邦NASDAQ正2,48.37,48.47,48.05,48.30,+0.02,0.04,747000,264,36079910,35000,3000,32000,0,0,0,559000,143000,416000,448000
20200604,00671R,富邦NASDAQ反1,9.01,9.05,9.00,9.03,-0.01,-0.11,2353039,242,21224842,7000,0,7000,0,0,0,682000,659000,23000,30000
20200604,00672L,元大S&P原油正2,2.45,2.45,2.30,2.37,-0.08,-3.27,17735999,1397,41887406,0,0,0,0,0,0,255000,75000,180000,180000
20200604,00673R,元大S&P原油反1,33.80,34.18,33.78,34.04,+0.53,1.58,746000,119,25345400,0,0,0,0,0,0,519000,458000,61000,61000
20200604,00674R,元大S&P黃金反1,14.38,14.40,14.34,14.35,+0.16,1.13,1946000,201,27948340,1000,0,1000,0,0,0,1665000,0,1665000,1666000
20200604,00675L,富邦臺灣加權正2,18.94,19.00,18.68,18.90,+0.26,1.39,411000,195,7748260,81000,56000,25000,0,0,0,129000,49000,80000,105000
20200604,00676R,富邦臺灣加權反1,6.00,6.05,5.99,6.02,-0.04,-0.66,3966000,446,23847460,0,0,0,0,0,0,1833000,1472000,361000,361000
20200604,00677U,富邦VIX,5.72,5.75,5.68,5.70,-0.15,-2.56,215284590,17647,1229806865,6284000,8220000,-1936000,0,0,0,1717000,61241000,-59524000,-61460000
20200604,00678,群益NBI生技,25.70,25.71,25.55,25.56,-0.44,-1.69,386000,58,9874430,0,9000,-9000,0,0,0,312000,303000,9000,0
20200604,00680L,元大美債20正2,30.72,30.73,30.59,30.64,-0.27,-0.87,149000,37,4568290,24000,0,24000,0,0,0,0,118000,-118000,-94000
