date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200310,0050,元大台灣50,85.00,86.30,84.90,86.30,+0.45,0.52,23784345,10444,2031046781,2062000,9107000,-7045000,45000,0,45000,1460000,8846000,-7386000,-14386000
20200310,0051,元大中型100,32.72,32.72,32.22,32.58,-0.14,-0.43,48000,28,1555660,1000,1000,0,0,0,0,9000,26000,-17000,-17000
20200310,0052,富邦科技,65.85,66.50,64.60,66.50,+0.50,0.76,162555,65,10659154,1000,3000,-2000,0,0,0,132000,109000,23000,21000
20200310,0053,元大電子,38.30,38.91,38.20,38.91,+0.34,0.88,21000,14,804330,0,0,0,0,0,0,1000,19000,-18000,-18000
20200310,0054,元大台商50,22.02,22.29,21.96,22.29,-0.01,-0.04,22000,10,485260,0,0,0,0,0,0,11000,10000,1000,1000
20200310,0055,元大MSCI金融,17.80,17.96,17.74,17.96,-0.10,-0.55,48700,36,868310,1000,1000,0,0,0,0,0,25000,-25000,-25000
20200310,0056,元大高股息,26.80,27.26,26.76,27.25,0.00,0.00,70307269,30789,1891740596,35000,49000,-14000,0,0,0,88000,56945000,-56857000,-56871000
20200310,0057,富邦摩台,56.15,56.15,56.00,56.00,-0.40,-0.71,23000,5,1288300,0,0,0,0,0,0,20000,23000,-3000,-3000
20200310,0061,元大寶滬深,17.95,18.41,17.87,18.32,+0.31,1.72,1374678,344,24973149,99000,0,99000,0,0,0,944000,25000,919000,1018000
20200310,006203,元大MSCI台灣,39.48,40.03,39.48,40.03,-0.16,-0.4,11000,5,435820,1000,1000,0,0,0,0,8000,0,8000,8000
20200310,006204,永豐臺灣加權,54.05,54.75,54.05,54.75,-0.55,-0.99,3000,3,163000,0,0,0,0,0,0,1000,2000,-1000,-1000
20200310,006205,富邦上証,30.00,30.81,29.90,30.76,+0.68,2.26,3531358,597,107365080,1680000,22000,1658000,0,250000,-250000,1422000,1803000,-381000,1027000
20200310,006206,元大上證50,30.50,31.95,30.50,31.95,+0.65,2.08,394252,118,12441432,287000,4000,283000,0,0,0,38000,143000,-105000,178000
20200310,006207,FH滬深,23.44,24.07,23.37,24.07,+0.63,2.69,652004,97,15450466,454000,32000,422000,0,0,0,120000,61000,59000,481000
