date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200212,0050,元大台灣50,92.00,92.90,92.00,92.65,+0.90,0.98,5640117,2845,521567062,1247054,371000,876054,0,0,0,1197000,1318000,-121000,755054
20200212,0051,元大中型100,34.96,35.28,34.96,35.28,+0.47,1.35,13300,11,467685,1000,1000,0,0,0,0,3000,1000,2000,2000
20200212,0052,富邦科技,73.00,73.25,72.80,72.80,+0.20,0.28,53076,44,3869280,3000,3000,0,0,0,0,22000,22000,0,0
20200212,0053,元大電子,41.25,41.68,41.25,41.68,+0.59,1.44,7011,8,291545,0,0,0,0,0,0,1000,0,1000,1000
20200212,0054,元大台商50,23.71,23.73,23.71,23.73,+0.27,1.15,12000,2,284740,0,0,0,0,0,0,12000,0,12000,12000
20200212,0055,元大MSCI金融,19.04,19.04,18.91,18.91,0.00,0.00,6058,7,115112,0,0,0,0,0,0,0,1000,-1000,-1000
20200212,0056,元大高股息,28.36,28.57,28.36,28.56,+0.22,0.78,12239828,4730,348673622,6069,2000,4069,0,0,0,5267000,140000,5127000,5131069
20200212,0057,富邦摩台,60.65,60.70,60.65,60.70,+0.50,0.83,22000,4,1335300,0,0,0,0,0,0,20000,22000,-2000,-2000
20200212,0061,元大寶滬深,17.84,18.00,17.80,18.00,+0.15,0.84,1188498,335,21283838,286000,0,286000,0,0,0,110000,259000,-149000,137000
20200212,006203,元大MSCI台灣,43.15,43.18,43.15,43.18,+0.18,0.42,4000,4,172650,2000,0,2000,0,0,0,1000,0,1000,3000
20200212,006204,永豐臺灣加權,58.50,58.50,58.50,58.50,+0.50,0.86,1136,3,66456,0,0,0,0,0,0,1000,0,1000,1000
20200212,006205,富邦上証,29.98,30.06,29.88,30.06,+0.08,0.27,2981786,977,89462415,581000,0,581000,0,0,0,1975125,1655000,320125,901125
20200212,006206,元大上證50,31.31,31.44,31.31,31.44,+0.10,0.32,252764,80,7930183,8000,8000,0,0,0,0,143000,4000,139000,139000
20200212,006207,FH滬深,23.33,23.40,23.28,23.40,+0.07,0.3,398666,71,9316060,5000,0,5000,0,0,0,368000,40000,328000,333000
20200212,006208,富邦台50,52.60,53.10,52.60,53.05,+0.60,1.14,667615,223,35336840,0,0,0,0,0,0,543000,424000,119000,119000
20200212,00625K,富邦上証+R,7.05,7.05,6.97,6.97,-0.04,-0.57,55000,3,387350,0,0,0,0,0,0,55000,50000,5000,5000
20200212,00631L,元大台灣50正2,50.75,51.70,50.75,51.45,+0.80,1.58,1889058,701,96767001,484000,0,484000,0,0,0,661000,182000,479000,963000
20200212,00632R,元大台灣50反1,10.20,10.20,10.09,10.11,-0.09,-0.88,64910202,6353,657660943,31000,655000,-624000,0,0,0,4949000,32718000,-27769000,-28393000
20200212,00633L,富邦上証正2,43.32,43.48,42.95,43.35,-0.18,-0.41,13147280,2629,568254164,525000,4676000,-4151000,0,0,0,2489000,2720000,-231000,-4382000
20200212,00634R,富邦上証反1,5.89,5.92,5.87,5.87,0.00,0.00,5135000,480,30239580,1383000,1000,1382000,0,0,0,769000,980000,-211000,1171000
20200212,00635U,元大S&P黃金,22.35,22.35,22.31,22.32,-0.04,-0.18,734030,182,16385190,4000,0,4000,0,0,0,421000,46000,375000,379000
20200212,00636,國泰中國A50,20.93,20.99,20.88,20.96,+0.03,0.14,1166333,410,24416836,0,0,0,0,0,0,143000,612000,-469000,-469000
20200212,00636K,國泰中國A50+U,6.98,6.98,6.98,6.98,+0.03,0.43,100,1,698,0,0,0,0,0,0,100,100,0,0
20200212,00637L,元大滬深300正2,16.62,16.68,16.48,16.64,-0.06,-0.36,69935949,7476,1160066876,123000,13662000,-13539000,0,0,0,9035000,27952000,-18917000,-32456000
20200212,00638R,元大滬深300反1,11.90,11.95,11.86,11.86,-0.02,-0.17,3047000,489,36244750,1143000,101000,1042000,0,0,0,100000,65000,35000,1077000
20200212,00639,富邦深100,11.34,11.42,11.31,11.42,+0.07,0.62,2415473,313,27460723,818000,0,818000,0,0,0,1189000,1232000,-43000,775000
20200212,00640L,富邦日本正2,22.41,22.53,22.38,22.49,-0.23,-1.01,619000,67,13897400,3000,55000,-52000,0,0,0,410000,463000,-53000,-105000
20200212,00641R,富邦日本反1,13.54,13.54,13.50,13.53,+0.08,0.59,327000,35,4421590,90000,0,90000,0,0,0,232000,100000,132000,222000
20200212,00642U,元大S&P石油,14.72,14.88,14.72,14.85,+0.12,0.81,19908800,4257,295020837,28000,239000,-211000,0,0,0,717000,17319000,-16602000,-16813000
20200212,00643,群益深証中小,13.82,13.99,13.77,13.99,+0.17,1.23,1381655,326,19181031,719000,0,719000,0,0,0,278000,691000,-413000,306000
20200212,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200212,00645,富邦日本,22.22,22.27,22.22,22.23,-0.08,-0.36,67000,8,1489470,0,0,0,0,0,0,63000,64000,-1000,-1000
20200212,00646,元大S&P500,30.74,30.78,30.71,30.78,-0.01,-0.03,311356,128,9571305,2000,119000,-117000,0,0,0,0,112000,-112000,-229000
20200212,00647L,元大S&P500正2,45.40,45.55,45.34,45.46,+0.01,0.02,116000,22,5264340,0,1000,-1000,0,0,0,92000,0,92000,91000
20200212,00648R,元大S&P500反1,10.58,10.58,10.53,10.53,-0.05,-0.47,869000,103,9181300,0,0,0,0,0,0,147000,46000,101000,101000
20200212,00650L,FH香港正2,29.10,29.56,29.05,29.49,+0.42,1.44,423000,112,12379710,0,0,0,0,0,0,279000,163000,116000,116000
20200212,00651R,FH香港反1,8.14,8.15,8.09,8.11,-0.06,-0.73,578000,96,4693250,4000,0,4000,0,0,0,178000,395000,-217000,-213000
20200212,00652,富邦印度,23.73,23.86,23.73,23.86,+0.10,0.42,37402,22,890026,12000,0,12000,0,0,0,20000,0,20000,32000
20200212,00653L,富邦印度正2,29.34,29.75,29.28,29.71,+0.33,1.12,249000,77,7348000,195000,0,195000,0,0,0,25000,59000,-34000,161000
20200212,00654R,富邦印度反1,13.01,13.01,12.92,12.95,-0.06,-0.46,40000,13,518420,0,16000,-16000,0,0,0,15000,0,15000,-1000
20200212,00655L,國泰中國A50正2,31.48,31.58,31.18,31.53,-0.04,-0.13,5294368,1282,166215411,92000,90000,2000,0,0,0,1436000,3774368,-2338368,-2336368
20200212,00656R,國泰中國A50反1,10.81,10.88,10.80,10.82,-0.01,-0.09,1448000,166,15693820,91000,0,91000,0,0,0,527000,491000,36000,127000
20200212,00657,國泰日經225,29.57,29.57,29.50,29.50,-0.21,-0.71,130000,4,3837100,0,0,0,0,0,0,125000,130000,-5000,-5000
20200212,00657K,國泰日經225+U,9.86,9.86,9.86,9.86,-0.02,-0.2,100,1,986,0,0,0,0,0,0,100,100,0,0
20200212,00660,元大歐洲50,,,,,0.00,0.00,70,2,1890,0,0,0,0,0,0,0,0,0,0
20200212,00661,元大日經225,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200212,00662,富邦NASDAQ,36.80,36.80,36.72,36.79,-0.11,-0.3,115330,71,4241139,0,0,0,0,0,0,4000,79000,-75000,-75000
20200212,00663L,國泰臺灣加權正2,45.31,45.80,45.24,45.80,+1.00,2.23,37000,17,1686060,0,0,0,0,0,0,28000,1000,27000,27000
20200212,00664R,國泰臺灣加權反1,11.60,11.60,11.50,11.53,-0.09,-0.77,1901000,356,21938330,0,0,0,0,0,0,143000,1233000,-1090000,-1090000
20200212,00665L,富邦恒生國企正2,26.08,26.30,25.92,26.28,+0.25,0.96,180000,51,4702800,9000,0,9000,0,0,0,126000,33000,93000,102000
20200212,00666R,富邦恒生國企反1,12.82,12.83,12.74,12.74,-0.10,-0.78,96000,12,1227500,0,0,0,0,0,0,88000,16000,72000,72000
20200212,00668,國泰美國道瓊,31.78,31.78,31.73,31.73,-0.09,-0.28,27000,10,857370,0,0,0,0,0,0,0,6000,-6000,-6000
20200212,00668K,國泰美國道瓊+U,10.60,10.60,10.60,10.60,-0.01,-0.09,100,1,1060,0,0,0,0,0,0,100,100,0,0
20200212,00669R,國泰美國道瓊反1,11.10,11.11,11.07,11.08,+0.01,0.09,1188000,107,13170790,0,0,0,0,0,0,750000,422000,328000,328000
20200212,00670L,富邦NASDAQ正2,51.65,52.00,51.60,52.00,-0.10,-0.19,253000,118,13104000,0,41000,-41000,0,0,0,47000,161000,-114000,-155000
20200212,00671R,富邦NASDAQ反1,10.00,10.00,9.94,9.96,+0.01,0.1,1079000,120,10757910,9000,0,9000,0,0,0,448000,72000,376000,385000
20200212,00672L,元大S&P原油正2,11.70,11.93,11.70,11.92,+0.26,2.23,199700356,21783,2358678140,2625000,17440000,-14815000,0,0,0,7375000,90053000,-82678000,-97493000
20200212,00673R,元大S&P原油反1,15.82,15.83,15.64,15.67,-0.14,-0.89,4950008,641,77818915,681000,415000,266000,0,0,0,2344000,136000,2208000,2474000
20200212,00674R,元大S&P黃金反1,16.04,16.05,16.04,16.04,+0.01,0.06,19000,9,304850,0,0,0,0,0,0,0,19000,-19000,-19000
20200212,00675L,富邦臺灣加權正2,19.53,19.91,19.53,19.83,+0.35,1.8,192000,89,3785380,38000,0,38000,0,0,0,132000,2000,130000,168000
20200212,00676R,富邦臺灣加權反1,6.28,6.28,6.23,6.24,-0.06,-0.95,1893600,187,11845300,0,94000,-94000,0,0,0,90000,1291000,-1201000,-1295000
20200212,00677U,富邦VIX,2.60,2.61,2.57,2.58,0.00,0.00,69545400,3304,179906028,6761000,2324000,4437000,0,0,0,3673000,700000,2973000,7410000
20200212,00678,群益NBI生技,23.80,23.80,23.70,23.76,-0.04,-0.17,482000,25,11451030,0,0,0,0,0,0,463000,450000,13000,13000
