date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200320,0050,元大台灣50,71.00,74.00,70.90,74.00,+5.45,7.95,40910533,20786,2966513589,1395000,8095500,-6700500,0,0,0,9051000,10991000,-1940000,-8640500
20200320,0051,元大中型100,24.91,26.39,24.91,25.94,+1.16,4.68,130150,82,3379080,0,0,0,0,0,0,39000,50000,-11000,-11000
20200320,0052,富邦科技,55.00,57.30,54.90,56.40,+4.15,7.94,228555,106,12841819,12000,25000,-13000,0,0,0,133000,145000,-12000,-25000
20200320,0053,元大電子,31.97,32.90,31.97,32.80,+2.00,6.49,72010,38,2350225,0,0,0,0,0,0,52000,9000,43000,43000
20200320,0054,元大台商50,18.05,18.47,18.05,18.47,+0.96,5.48,22000,9,404030,0,0,0,0,0,0,20000,3000,17000,17000
20200320,0055,元大MSCI金融,14.11,14.81,14.11,14.81,+0.81,5.79,163318,77,2389981,1000,2000,-1000,0,0,0,93000,2000,91000,90000
20200320,0056,元大高股息,22.25,23.55,22.21,23.28,+1.43,6.54,88557505,36112,2033834118,39000,4000,35000,190000,0,190000,905000,40906000,-40001000,-39776000
20200320,0057,富邦摩台,46.36,47.72,46.32,47.72,+3.09,6.92,45000,8,2141380,0,0,0,0,0,0,31000,32000,-1000,-1000
20200320,0061,元大寶滬深,16.20,16.72,16.20,16.30,+0.27,1.68,726611,288,11931635,4000,95000,-91000,0,0,0,0,79000,-79000,-170000
20200320,006203,元大MSCI台灣,32.39,33.82,32.39,33.82,+2.02,6.35,4000,4,132780,0,0,0,0,0,0,4000,1000,3000,3000
20200320,006204,永豐臺灣加權,44.89,45.68,44.89,45.68,+2.56,5.94,10000,10,452840,0,0,0,0,0,0,7000,0,7000,7000
20200320,006205,富邦上証,27.02,27.60,27.02,27.46,+0.71,2.65,4769741,554,130908631,37000,2424000,-2387000,0,0,0,1133220,1666000,-532780,-2919780
20200320,006206,元大上證50,28.00,28.40,28.00,28.07,+0.57,2.07,272625,97,7680132,104000,46000,58000,0,0,0,14000,9000,5000,63000
20200320,006207,FH滬深,21.15,21.39,21.14,21.14,+0.44,2.13,183000,53,3896580,5000,42000,-37000,0,0,0,83000,27000,56000,19000
20200320,006208,富邦台50,41.20,42.40,40.65,42.00,+2.39,6.03,1630221,854,67861942,15000,12000,3000,0,0,0,520000,1068000,-548000,-545000
20200320,00625K,富邦上証+R,6.37,6.37,6.37,6.37,-0.13,-2.0,50000,2,318500,0,0,0,0,0,0,50000,50000,0,0
20200320,00631L,元大台灣50正2,28.40,31.27,28.20,30.45,+4.05,15.34,36073200,8922,1071143768,181000,300000,-119000,0,0,0,14073000,7547000,6526000,6407000
20200320,00632R,元大台灣50反1,13.29,13.34,12.50,12.76,-1.04,-7.54,477889391,44015,6175814828,42028000,7583000,34445000,3543000,550000,2993000,134948000,184233000,-49285000,-11847000
20200320,00633L,富邦上証正2,33.92,34.85,33.75,34.18,+2.03,6.31,23279456,4563,798794695,2390000,80000,2310000,0,0,0,6263000,8148000,-1885000,425000
20200320,00634R,富邦上証反1,6.49,6.55,6.41,6.50,-0.26,-3.85,19579150,1469,126744780,1778000,52000,1726000,0,0,0,8163000,3315000,4848000,6574000
20200320,00635U,元大S&P黃金,20.94,21.19,20.94,21.19,+0.27,1.29,1741551,514,36776258,1000,0,1000,0,0,0,207000,464000,-257000,-256000
20200320,00636,國泰中國A50,18.60,18.91,18.54,18.66,+0.50,2.75,4067415,631,76132134,116000,1427000,-1311000,0,0,0,48000,1899000,-1851000,-3162000
20200320,00636K,國泰中國A50+U,6.08,6.08,6.08,6.08,+0.04,0.66,100,1,608,0,0,0,0,0,0,100,100,0,0
20200320,00637L,元大滬深300正2,13.04,13.37,12.96,13.10,+0.86,7.03,125079694,14877,1646562444,1441000,6463000,-5022000,0,0,0,29251000,46036000,-16785000,-21807000
20200320,00638R,元大滬深300反1,13.30,13.30,13.00,13.16,-0.45,-3.31,9963000,1091,130582660,1031000,6000,1025000,0,0,0,5125000,2053000,3072000,4097000
20200320,00639,富邦深100,10.36,10.76,10.30,10.33,+0.22,2.18,2935243,414,30680212,0,1154000,-1154000,0,0,0,1455000,1135000,320000,-834000
20200320,00640L,富邦日本正2,12.67,13.34,12.67,13.30,+1.14,9.37,1001060,359,13136997,0,4000,-4000,0,0,0,292000,163000,129000,125000
20200320,00641R,富邦日本反1,17.40,17.54,16.74,17.11,-1.01,-5.57,2487000,779,42502750,370000,45000,325000,0,0,0,203000,151000,52000,377000
20200320,00642U,元大S&P石油,10.06,10.44,10.00,10.41,+1.29,14.14,88506539,16833,906428762,74000,3212000,-3138000,0,0,0,5272000,10750000,-5478000,-8616000
20200320,00643,群益深証中小,12.80,13.08,12.72,12.76,+0.26,2.08,4177450,561,53699312,43000,2586000,-2543000,0,0,0,111000,541000,-430000,-2973000
20200320,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200320,00645,富邦日本,17.13,17.23,16.81,16.81,+0.24,1.45,244000,56,4150540,0,0,0,0,0,0,110000,131000,-21000,-21000
20200320,00646,元大S&P500,21.98,22.41,21.92,22.40,+0.91,4.23,2318885,1187,51491042,7000,111000,-104000,0,0,0,464000,1091000,-627000,-731000
20200320,00647L,元大S&P500正2,21.56,22.65,21.38,22.47,+1.84,8.92,4681000,808,103025760,6000,8000,-2000,0,0,0,1329000,3272000,-1943000,-1945000
20200320,00648R,元大S&P500反1,14.51,14.53,14.17,14.27,-0.50,-3.39,10337357,1128,148485191,0,0,0,0,0,0,6983000,3972000,3011000,3011000
20200320,00650L,FH香港正2,17.73,19.22,17.73,18.78,+1.58,9.19,508000,130,9530540,67000,48000,19000,0,0,0,214000,129000,85000,104000
20200320,00651R,FH香港反1,10.06,10.06,9.77,9.89,-0.49,-4.72,1627000,333,16073470,127000,5000,122000,0,0,0,800000,488000,312000,434000
20200320,00652,富邦印度,15.10,15.88,15.10,15.75,+0.80,5.35,277449,92,4301156,162000,9000,153000,0,0,0,2000,204000,-202000,-49000
20200320,00653L,富邦印度正2,13.20,13.68,12.85,13.45,+1.09,8.82,2071000,546,27520630,0,0,0,0,0,0,139000,1209000,-1070000,-1070000
20200320,00654R,富邦印度反1,19.00,19.18,18.06,18.35,-1.45,-7.32,1773000,448,32984780,0,0,0,0,0,0,912000,174000,738000,738000
20200320,00655L,國泰中國A50正2,24.30,25.13,24.30,24.66,+1.56,6.75,9015000,2018,223127410,741000,40000,701000,0,0,0,3195000,3802000,-607000,94000
20200320,00656R,國泰中國A50反1,12.10,12.10,11.84,11.96,-0.39,-3.16,2024000,306,24110590,355000,4000,351000,0,0,0,1119000,441000,678000,1029000
20200320,00657,國泰日經225,21.05,21.11,21.05,21.11,+0.88,4.35,132000,5,2784720,1000,0,1000,0,0,0,131000,130000,1000,2000
20200320,00657K,國泰日經225+U,6.96,6.96,6.96,6.96,+0.29,4.35,100,1,696,0,0,0,0,0,0,100,100,0,0
20200320,00660,元大歐洲50,17.44,18.05,17.44,17.90,+1.40,8.48,41000,18,729870,0,0,0,0,0,0,14000,14000,0,0
20200320,00661,元大日經225,21.68,21.68,21.68,21.68,+1.10,5.34,1000,1,21680,0,0,0,0,0,0,0,1000,-1000,-1000
20200320,00662,富邦NASDAQ,28.60,28.75,28.20,28.69,+1.55,5.71,449504,162,12853482,1000,3000,-2000,0,0,0,48000,270000,-222000,-224000
20200320,00663L,國泰臺灣加權正2,24.72,27.26,24.66,26.84,+3.59,15.44,2450000,307,62995080,0,0,0,0,0,0,1235000,1150000,85000,85000
20200320,00664R,國泰臺灣加權反1,15.15,15.21,14.25,14.40,-1.34,-8.51,15685256,2222,230825011,0,0,0,0,0,0,5471000,8439000,-2968000,-2968000
20200320,00665L,富邦恒生國企正2,16.60,17.77,16.58,17.40,+1.65,10.48,518000,97,8938310,285000,35000,250000,0,0,0,39000,333000,-294000,-44000
20200320,00666R,富邦恒生國企反1,16.44,16.44,15.40,15.54,-0.90,-5.47,103000,23,1606130,6000,0,6000,0,0,0,75000,83000,-8000,-2000
20200320,00668,國泰美國道瓊,21.53,22.22,21.53,22.06,+0.90,4.25,753000,276,16530100,0,256000,-256000,0,0,0,139000,94000,45000,-211000
20200320,00668K,國泰美國道瓊+U,7.22,7.22,7.22,7.22,+0.18,2.56,100,1,722,0,0,0,0,0,0,100,100,0,0
20200320,00669R,國泰美國道瓊反1,15.97,15.97,15.50,15.60,-0.73,-4.47,12744353,1716,200249762,137000,0,137000,0,0,0,6748000,1951353,4796647,4933647
20200320,00670L,富邦NASDAQ正2,28.12,29.20,27.86,28.97,+2.85,10.91,6576050,1416,187799620,12000,16000,-4000,0,0,0,970000,4073000,-3103000,-3107000
20200320,00671R,富邦NASDAQ反1,12.59,12.59,12.28,12.32,-0.74,-5.67,2890000,545,35820640,0,0,0,0,0,0,1322000,439000,883000,883000
20200320,00672L,元大S&P原油正2,3.00,3.00,2.35,2.98,+1.37,85.09,502430686,37123,1375680749,1000,14000,-13000,0,0,0,2846000,247378000,-244532000,-244545000
20200320,00673R,元大S&P原油反1,26.12,26.46,24.13,25.18,-5.26,-17.28,15170025,2297,380032970,0,26000,-26000,0,0,0,9703000,8577000,1126000,1100000
20200320,00674R,元大S&P黃金反1,16.84,16.86,16.65,16.65,-0.31,-1.83,882000,195,14763720,0,0,0,0,0,0,384000,20000,364000,364000
20200320,00675L,富邦臺灣加權正2,10.97,12.15,10.92,11.92,+1.69,16.52,4459000,962,51240890,0,0,0,0,0,0,2171000,1719000,452000,452000
20200320,00676R,富邦臺灣加權反1,8.18,8.21,7.70,7.83,-0.68,-7.99,22517000,2425,179317760,0,0,0,0,0,0,8229000,8587000,-358000,-358000
20200320,00677U,富邦VIX,12.01,12.19,11.17,11.18,-3.02,-21.27,711184112,72686,8313455885,29254000,85289000,-56035000,0,0,0,124669000,10286000,114383000,58348000
20200320,00678,群益NBI生技,19.40,20.08,19.40,19.95,+1.04,5.5,330157,170,6536264,69000,4000,65000,0,0,0,22000,0,22000,87000
20200320,00680L,元大美債20正2,28.28,28.88,28.28,28.71,+2.17,8.18,306000,67,8772680,0,0,0,0,0,0,101000,173000,-72000,-72000
20200320,00681R,元大美債20反1,13.82,13.82,13.72,13.76,-0.57,-3.98,510000,95,7027080,0,0,0,0,0,0,393000,31000,362000,362000
20200320,00682U,元大美元指數,20.60,20.60,20.35,20.36,-0.08,-0.39,121000,41,2481480,0,0,0,0,0,0,81000,0,81000,81000
20200320,00683L,元大美元指數正2,22.39,22.39,21.59,21.62,+0.16,0.75,333000,84,7321430,0,0,0,0,0,0,44000,130000,-86000,-86000
20200320,00684R,元大美元指數反1,17.38,17.38,17.38,17.38,-0.15,-0.86,21000,4,364980,0,0,0,0,0,0,0,1000,-1000,-1000
20200320,00685L,群益臺灣加權正2,9.59,10.65,9.57,10.50,+1.26,13.64,2425000,242,24292400,0,0,0,0,0,0,923000,1945000,-1022000,-1022000
20200320,00686R,群益臺灣加權反1,8.98,9.00,8.43,8.50,-0.84,-8.99,2919000,355,25367500,0,0,0,0,0,0,1118000,1778000,-660000,-660000
20200320,00688L,國泰20年美債正2,28.97,29.38,28.97,29.32,+2.16,7.95,110000,9,3223900,0,0,0,0,0,0,102000,108000,-6000,-6000
20200320,00689R,國泰20年美債反1,14.01,14.20,13.99,14.07,-0.60,-4.09,163000,12,2296890,0,0,0,0,0,0,118000,140000,-22000,-22000
20200320,00690,兆豐藍籌30,17.71,18.52,17.71,18.30,+0.89,5.11,325100,104,5950684,0,0,0,0,0,0,213000,227000,-14000,-14000
20200320,00691R,兆豐藍籌30反1,17.05,17.05,17.05,17.05,-0.95,-5.28,1000,1,17050,0,0,0,0,0,0,1000,0,1000,1000
20200320,00692,富邦公司治理,18.12,19.04,18.12,18.92,+1.27,7.2,5359993,2464,100109561,1000,0,1000,0,0,0,1606000,2566000,-960000,-959000
20200320,00693U,街口S&P黃豆,13.68,13.73,13.55,13.71,+0.48,3.63,4117000,549,56301010,0,1722000,-1722000,0,0,0,368000,1644000,-1276000,-2998000
20200320,00700,富邦恒生國企,16.81,16.83,16.60,16.60,+0.72,4.53,120570,19,2014284,0,0,0,0,0,0,105000,113000,-8000,-8000
20200320,00701,國泰股利精選30,17.00,17.87,16.95,17.64,+0.98,5.88,4955865,1717,86527289,41000,255000,-214000,0,0,0,1753000,2200000,-447000,-661000
20200320,00702,國泰標普低波高息,14.16,14.45,14.11,14.38,+0.39,2.79,253200,36,3597206,0,0,0,0,0,0,207000,243000,-36000,-36000
20200320,00703,台新MSCI中國,17.50,18.01,17.33,17.74,+0.72,4.23,189002,52,3373067,0,1000,-1000,0,0,0,94000,142000,-48000,-49000
20200320,00706L,元大S&P日圓正2,16.59,16.74,16.45,16.74,-0.25,-1.47,74000,37,1224220,0,0,0,0,0,0,3000,68000,-65000,-65000
20200320,00707R,元大S&P日圓反1,20.00,20.00,19.86,19.87,0.00,0.00,290000,19,5762400,0,0,0,0,0,0,290000,1000,289000,289000
20200320,00708L,元大S&P黃金正2,20.81,21.22,20.81,21.20,+0.49,2.37,11612000,1276,244558580,0,2067000,-2067000,0,0,0,2014000,5479000,-3465000,-5532000
20200320,00709,富邦歐洲,13.96,14.44,13.96,14.32,+0.71,5.22,116161,14,1673135,0,0,0,0,0,0,104000,105000,-1000,-1000
20200320,00710B,FH彭博高收益債,15.92,16.60,15.92,16.55,+0.63,3.96,285050,99,4713350,0,0,0,0,0,0,175000,1000,174000,174000
20200320,00711B,FH彭博新興債,18.20,18.20,17.53,17.83,-0.37,-2.03,692068,27,12321010,0,0,0,0,0,0,674000,679000,-5000,-5000
20200320,00712,FH富時不動產,8.14,8.35,8.10,8.20,+0.21,2.63,1206552,349,9814756,0,0,0,0,0,0,0,1002000,-1002000,-1002000
20200320,00713,元大台灣高息低波,24.13,25.65,24.13,25.40,+1.27,5.26,277269,159,6959069,30000,1000,29000,0,0,0,68000,66000,2000,31000
20200320,00714,群益道瓊美國地產,15.04,15.22,14.90,15.22,+0.61,4.18,54350,19,814187,0,40000,-40000,0,0,0,42000,4000,38000,-2000
20200320,00715L,街口布蘭特油正2,4.30,4.55,3.82,4.53,+1.55,52.01,190218300,15312,803491115,28000,3949000,-3921000,0,0,0,210000,44282000,-44072000,-47993000
20200320,00717,富邦美國特別股,13.42,14.38,13.42,14.33,+1.85,14.82,3844220,1048,53405441,0,0,0,0,0,0,469000,806000,-337000,-337000
20200320,00728,第一金工業30,15.08,15.50,15.00,15.29,+0.79,5.45,1327000,166,20389600,0,0,0,0,0,0,868000,918000,-50000,-50000
20200320,00730,富邦臺灣優質高息,13.46,14.02,13.46,13.88,+0.69,5.23,1355296,411,18778612,0,0,0,0,0,0,574000,931000,-357000,-357000
20200320,00731,FH富時高息低波,37.30,38.50,37.30,38.28,+1.95,5.37,263000,73,9995760,3000,3000,0,0,150000,-150000,211000,88000,123000,-27000
20200320,00732,國泰RMB短期報酬,38.57,38.57,38.57,38.57,+0.24,0.63,1000,1,38570,0,0,0,0,0,0,1000,1000,0,0
20200320,00733,富邦臺灣中小,14.89,15.39,14.89,15.17,+0.85,5.94,253000,27,3878850,0,0,0,0,0,0,214000,236000,-22000,-22000
20200320,00735,國泰臺韓科技,16.00,16.50,16.00,16.50,+1.00,6.45,198000,28,3239300,58000,6000,52000,0,0,0,117000,185000,-68000,-16000
20200320,00736,國泰新興市場,14.33,14.86,14.33,14.86,+0.66,4.65,108000,9,1597610,0,0,0,0,0,0,105000,103000,2000,2000
20200320,00737,國泰AI+Robo,15.70,16.08,15.70,16.04,+0.84,5.53,776500,294,12386669,0,0,0,0,0,0,91000,429000,-338000,-338000
20200320,00738U,元大道瓊白銀,13.54,14.19,13.54,14.18,+0.88,6.62,3411050,466,47431600,0,775000,-775000,0,0,0,727000,1538000,-811000,-1586000
20200320,00739,元大MSCI A股,18.95,19.53,18.95,19.31,+0.50,2.66,552225,109,10691362,339000,7000,332000,0,0,0,92726,103000,-10274,321726
20200320,00742,新光內需收益,17.65,17.87,17.65,17.87,+0.45,2.58,38104,5,680701,0,0,0,0,0,0,37000,37000,0,0
