date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200109,0050,元大台灣50,96.30,97.10,96.30,96.95,+1.30,1.36,7163943,3879,693086421,1092000,3136000,-2044000,79000,52000,27000,1588000,893000,695000,-1322000
20200109,0051,元大中型100,34.71,35.06,34.71,34.95,+0.26,0.75,39300,26,1375250,2000,0,2000,0,0,0,24000,4000,20000,22000
20200109,0052,富邦科技,72.20,72.70,72.00,72.45,+1.20,1.68,127110,36,9216645,3000,6000,-3000,0,0,0,87000,100000,-13000,-16000
20200109,0053,元大電子,41.90,42.18,41.90,42.18,+0.57,1.37,17000,7,715360,0,0,0,0,0,0,1000,6000,-5000,-5000
20200109,0054,元大台商50,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,0055,元大MSCI金融,18.90,18.90,18.85,18.85,+0.03,0.16,28100,17,530580,0,0,0,0,0,0,0,0,0,0
20200109,0056,元大高股息,28.56,28.78,28.56,28.70,+0.20,0.7,11167458,4291,320681771,4325,1000,3325,70000,0,70000,255000,2262000,-2007000,-1933675
20200109,0057,富邦摩台,61.30,61.50,61.30,61.40,+0.55,0.9,22000,5,1350800,0,0,0,0,0,0,20000,17000,3000,3000
20200109,0061,元大寶滬深,18.79,18.99,18.77,18.89,+0.13,0.69,765305,259,14478255,0,0,0,0,0,0,24000,12000,12000,12000
20200109,006203,元大MSCI台灣,45.10,45.20,45.10,45.20,+0.47,1.05,2000,2,90300,1000,0,1000,0,0,0,1000,0,1000,2000
20200109,006204,永豐臺灣加權,59.55,59.55,59.55,59.55,+0.75,1.28,40147,4,2390650,0,0,0,0,0,0,40000,40000,0,0
20200109,006205,富邦上証,32.00,32.19,32.00,32.06,+0.22,0.69,1922657,267,61629144,0,0,0,0,0,0,1708356,1069000,639356,639356
20200109,006206,元大上證50,33.75,33.75,33.55,33.58,+0.14,0.42,207654,77,6982597,0,1000,-1000,0,0,0,155000,0,155000,154000
20200109,006207,FH滬深,24.69,24.84,24.66,24.76,+0.23,0.94,803643,177,19894392,94000,0,94000,0,0,0,459000,509000,-50000,44000
20200109,006208,富邦台50,53.45,53.75,53.35,53.75,+0.75,1.42,468834,252,25137603,1000,0,1000,0,0,0,359000,314000,45000,46000
20200109,00625K,富邦上証+R,7.38,7.38,7.38,7.38,0.00,0.00,50000,2,369000,0,0,0,0,0,0,50000,50000,0,0
20200109,00631L,元大台灣50正2,52.60,53.55,52.55,53.40,+1.50,2.89,1702850,597,90513234,0,0,0,22000,0,22000,821000,514000,307000,329000
20200109,00632R,元大台灣50反1,10.08,10.09,10.00,10.01,-0.14,-1.38,45767210,4047,459548654,6105000,377000,5728000,0,0,0,6802000,17513000,-10711000,-4983000
20200109,00633L,富邦上証正2,50.60,50.85,50.30,50.40,+0.71,1.43,9325000,1648,471126200,356000,642000,-286000,0,0,0,4522000,1669000,2853000,2567000
20200109,00634R,富邦上証反1,5.63,5.63,5.59,5.60,-0.05,-0.88,1071000,77,6000550,640000,0,640000,0,0,0,199000,117000,82000,722000
20200109,00635U,元大S&P黃金,22.30,22.32,22.25,22.30,-0.50,-2.19,2210166,861,49277428,66000,300000,-234000,0,0,0,367000,157000,210000,-24000
20200109,00636,國泰中國A50,22.31,22.47,22.31,22.38,+0.18,0.81,1498906,347,33581524,541000,43000,498000,0,0,0,532001,168000,364001,862001
20200109,00636K,國泰中國A50+U,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,00637L,元大滬深300正2,19.41,19.57,19.35,19.45,+0.29,1.51,59525050,6175,1157995654,7696000,79000,7617000,60000,0,60000,22353000,16345000,6008000,13685000
20200109,00638R,元大滬深300反1,11.34,11.34,11.27,11.28,-0.10,-0.88,1184000,110,13367640,480000,0,480000,0,0,0,217000,208000,9000,489000
