date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200117,0050,元大台灣50,97.70,97.75,97.10,97.30,0.00,0.00,8121134,2944,791003262,4000,3490000,-3486000,71000,0,71000,1809000,3283000,-1474000,-4889000
20200117,0051,元大中型100,35.92,36.02,35.85,35.85,+0.12,0.34,25300,19,909690,1000,1000,0,0,0,0,12000,0,12000,12000
20200117,0052,富邦科技,72.80,72.85,72.15,72.30,-0.30,-0.41,116555,42,8435999,0,0,0,0,0,0,79000,89000,-10000,-10000
20200117,0053,元大電子,42.78,42.78,42.30,42.30,-0.04,-0.09,19000,12,807210,0,0,0,0,0,0,11000,3000,8000,8000
20200117,0054,元大台商50,24.99,25.05,24.95,24.95,-0.02,-0.08,10000,8,250090,0,0,0,0,0,0,8000,0,8000,8000
20200117,0055,元大MSCI金融,19.26,19.27,19.22,19.27,+0.02,0.1,46439,28,894257,0,0,0,0,0,0,28000,0,28000,28000
20200117,0056,元大高股息,29.13,29.19,29.09,29.16,+0.06,0.21,11756156,4838,342826201,10000,2000,8000,0,0,0,35000,4873000,-4838000,-4830000
20200117,0057,富邦摩台,61.75,61.75,61.50,61.65,-0.10,-0.16,36000,8,2217650,0,0,0,0,0,0,33000,10000,23000,23000
20200117,0061,元大寶滬深,19.11,19.20,18.99,18.99,-0.12,-0.63,1211307,206,23077660,0,0,0,0,0,0,151000,12000,139000,139000
20200117,006203,元大MSCI台灣,45.75,45.75,45.70,45.70,+0.30,0.66,9000,8,411520,0,1000,-1000,0,0,0,0,8000,-8000,-9000
20200117,006204,永豐臺灣加權,60.20,60.25,60.05,60.05,-0.15,-0.25,52000,9,3130800,0,0,0,0,0,0,51000,41000,10000,10000
20200117,006205,富邦上証,32.00,32.19,31.99,31.99,-0.01,-0.03,2139242,244,68598198,1153000,0,1153000,0,0,0,791000,1523000,-732000,421000
20200117,006206,元大上證50,33.85,33.86,33.60,33.61,+0.01,0.03,544800,78,18344088,340000,0,340000,0,0,0,137000,407000,-270000,70000
20200117,006207,FH滬深,24.90,24.95,24.81,24.83,+0.05,0.2,942001,97,23448104,664000,0,664000,0,0,0,273000,595000,-322000,342000
20200117,006208,富邦台50,54.05,54.05,53.80,53.90,0.00,0.00,456980,217,24628906,0,0,0,0,0,0,315000,384000,-69000,-69000
20200117,00625K,富邦上証+R,7.44,7.44,7.44,7.44,+0.02,0.27,50000,2,372000,0,0,0,0,0,0,50000,50000,0,0
20200117,00631L,元大台灣50正2,54.40,54.40,53.90,54.20,+0.05,0.09,712000,306,38623750,0,22000,-22000,0,0,0,119000,330000,-211000,-233000
20200117,00632R,元大台灣50反1,9.89,9.95,9.89,9.92,-0.01,-0.1,15947700,1352,158172711,0,100000,-100000,0,0,0,5950000,1939000,4011000,3911000
20200117,00633L,富邦上証正2,50.05,50.55,49.74,49.74,+0.03,0.06,8031500,1757,402176815,31000,1231000,-1200000,0,0,0,2947000,1930000,1017000,-183000
20200117,00634R,富邦上証反1,5.62,5.63,5.60,5.63,-0.01,-0.18,492000,30,2765280,395000,1000,394000,0,0,0,54000,8000,46000,440000
20200117,00635U,元大S&P黃金,22.14,22.23,22.13,22.23,+0.03,0.14,1096100,230,24320206,20000,0,20000,0,0,0,210000,303000,-93000,-73000
20200117,00636,國泰中國A50,22.40,22.57,22.40,22.43,+0.03,0.13,2061747,296,46386857,62000,11000,51000,0,0,0,1639000,550000,1089000,1140000
20200117,00636K,國泰中國A50+U,7.51,7.51,7.51,7.51,+0.03,0.4,100,1,751,0,0,0,0,0,0,100,0,100,100
20200117,00637L,元大滬深300正2,19.28,19.45,19.16,19.17,+0.05,0.26,93195290,6233,1800140287,196000,8551000,-8355000,25000,0,25000,24570000,24317000,253000,-8077000
20200117,00638R,元大滬深300反1,11.28,11.34,11.25,11.34,0.00,0.00,684000,63,7740490,610000,0,610000,0,0,0,28000,9000,19000,629000
20200117,00639,富邦深100,11.76,11.89,11.76,11.81,+0.04,0.34,2160183,284,25563755,1147000,0,1147000,0,0,0,675000,1055000,-380000,767000
20200117,00640L,富邦日本正2,22.94,22.97,22.88,22.91,+0.18,0.79,422000,29,9678550,3000,0,3000,0,0,0,324000,329000,-5000,-2000
20200117,00641R,富邦日本反1,13.45,13.46,13.43,13.44,-0.06,-0.44,220000,27,2957330,3000,0,3000,0,0,0,155000,138000,17000,20000
20200117,00642U,元大S&P石油,17.12,17.16,17.12,17.15,+0.07,0.41,1199575,394,20567676,0,419000,-419000,0,0,0,26000,256000,-230000,-649000
20200117,00643,群益深証中小,13.98,14.12,13.98,14.00,0.00,0.00,1989249,356,27979294,609000,0,609000,0,0,0,493000,481000,12000,621000
20200117,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200117,00645,富邦日本,22.41,22.43,22.40,22.43,+0.14,0.63,76542,16,1716438,0,0,0,0,0,0,72000,60000,12000,12000
20200117,00646,元大S&P500,30.21,30.28,30.21,30.25,+0.27,0.9,722462,291,21862258,0,0,0,0,0,0,2000,501000,-499000,-499000
20200117,00647L,元大S&P500正2,44.27,44.27,44.22,44.22,+0.56,1.28,15000,7,663710,0,0,0,0,0,0,13000,0,13000,13000
20200117,00648R,元大S&P500反1,10.69,10.71,10.68,10.71,-0.06,-0.56,968000,131,10356380,0,50000,-50000,0,0,0,280000,424000,-144000,-194000
20200117,00650L,FH香港正2,32.28,32.67,31.96,32.06,+0.16,0.5,1236000,221,40057730,0,0,0,0,0,0,994000,949000,45000,45000
20200117,00651R,FH香港反1,7.72,7.84,7.72,7.83,0.00,0.00,696000,75,5426200,0,0,0,0,0,0,642000,290000,352000,352000
20200117,00652,富邦印度,24.28,24.28,24.17,24.28,0.00,0.00,59724,26,1445836,24000,0,24000,0,0,0,8000,11000,-3000,21000
20200117,00653L,富邦印度正2,30.70,30.81,30.55,30.77,+0.14,0.46,41000,27,1258100,0,1000,-1000,0,0,0,24000,4000,20000,19000
20200117,00654R,富邦印度反1,12.92,12.92,12.84,12.84,+0.01,0.08,6000,3,77140,0,0,0,0,0,0,1000,0,1000,1000
20200117,00655L,國泰中國A50正2,36.61,36.93,36.32,36.32,-0.01,-0.03,2897000,874,106025100,10000,0,10000,0,0,0,945000,1467000,-522000,-512000
20200117,00656R,國泰中國A50反1,10.32,10.39,10.31,10.39,0.00,0.00,110000,13,1138030,0,0,0,0,0,0,99000,11000,88000,88000
20200117,00657,國泰日經225,29.84,29.89,29.84,29.88,+0.15,0.5,112000,5,3347520,0,0,0,0,0,0,102000,110000,-8000,-8000
20200117,00657K,國泰日經225+U,9.99,9.99,9.99,9.99,+0.04,0.4,100,1,999,0,0,0,0,0,0,100,100,0,0
