date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200529,0050,元大台灣50,83.40,84.45,83.00,84.45,+0.60,0.72,5320690,2851,444529073,0,709000,-709000,46000,0,46000,1837000,1924000,-87000,-750000
20200529,0051,元大中型100,34.63,34.63,34.34,34.53,-0.10,-0.29,89030,13,3072896,0,0,0,0,0,0,87000,75000,12000,12000
20200529,0052,富邦科技,63.50,63.50,63.35,63.35,-0.20,-0.31,103261,11,6541882,0,0,0,0,0,0,100000,103000,-3000,-3000
20200529,0053,元大電子,38.66,38.66,38.31,38.57,-0.13,-0.34,17025,16,654754,0,0,0,0,0,0,7000,8000,-1000,-1000
20200529,0054,元大台商50,23.02,23.10,22.85,23.10,-0.37,-1.58,6000,5,137820,0,0,0,0,0,0,5000,4000,1000,1000
20200529,0055,元大MSCI金融,17.09,17.25,17.05,17.25,+0.16,0.94,9202,12,157561,0,0,0,0,0,0,2000,0,2000,2000
20200529,0056,元大高股息,27.80,27.90,27.69,27.86,-0.04,-0.14,9501469,5593,264193521,37000,39000,-2000,0,0,0,200000,3046000,-2846000,-2848000
20200529,0057,富邦摩台,55.25,55.80,55.15,55.80,+0.20,0.36,224020,20,12416354,2000,0,2000,0,0,0,219000,221000,-2000,0
20200529,0061,元大寶滬深,16.95,17.10,16.91,17.02,-0.02,-0.12,315232,92,5368646,191000,8000,183000,0,0,0,17000,39000,-22000,161000
20200529,006203,元大MSCI台灣,39.28,39.39,39.05,39.36,-0.09,-0.23,17000,8,667180,2000,0,2000,0,0,0,8000,7000,1000,3000
20200529,006204,永豐臺灣加權,54.30,54.60,54.30,54.60,-0.05,-0.09,26000,7,1416050,0,0,0,0,0,0,25000,22000,3000,3000
20200529,006205,富邦上証,28.38,28.55,28.26,28.41,+0.02,0.07,1222665,113,34753779,9000,10000,-1000,0,0,0,1115051,1106000,9051,8051
20200529,006206,元大上證50,29.66,29.86,29.51,29.75,+0.06,0.2,545530,57,16195328,1000,207000,-206000,0,0,0,502000,289000,213000,7000
20200529,006207,FH滬深,22.12,22.35,22.08,22.27,+0.10,0.45,521000,112,11558940,2000,3000,-1000,0,0,0,472000,427000,45000,44000
20200529,006208,富邦台50,47.72,48.23,47.52,48.23,+0.23,0.48,913418,289,43717936,3103,1000,2103,0,0,0,694000,789000,-95000,-92897
20200529,00625K,富邦上証+R,6.82,6.82,6.82,6.82,+0.01,0.15,50000,2,341000,0,0,0,0,0,0,50000,50000,0,0
