date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200612,0050,元大台灣50,87.25,88.50,87.10,88.25,-0.80,-0.9,21563371,9065,1896372312,11805000,1825100,9979900,0,52000,-52000,2449000,3527000,-1078000,8849900
20200612,0051,元大中型100,35.24,35.88,35.00,35.88,-0.12,-0.33,50332,36,1780364,3000,3000,0,0,0,0,18000,20000,-2000,-2000
20200612,0052,富邦科技,66.55,68.10,66.40,68.10,-0.45,-0.66,158858,51,10740250,1000,0,1000,0,0,0,141000,107000,34000,35000
20200612,0053,元大電子,39.95,40.60,39.95,40.58,-0.47,-1.14,95000,25,3846350,0,0,0,0,0,0,90000,0,90000,90000
20200612,0054,元大台商50,23.77,23.99,23.77,23.99,-0.21,-0.87,16000,5,383180,0,0,0,0,0,0,11000,5000,6000,6000
20200612,0055,元大MSCI金融,17.54,17.63,17.46,17.62,-0.28,-1.56,45085,31,792367,1000,1000,0,0,0,0,13000,6000,7000,7000
20200612,0056,元大高股息,27.95,28.29,27.73,28.29,-0.14,-0.49,31763940,14819,890814562,76100,77000,-900,0,105000,-105000,7009000,1433000,5576000,5470100
20200612,0057,富邦摩台,57.50,58.45,57.50,58.25,-1.00,-1.69,31000,13,1800850,0,0,0,0,0,0,29000,22000,7000,7000
20200612,0061,元大寶滬深,17.65,17.73,17.40,17.73,+0.04,0.23,1402718,186,24734334,463000,294000,169000,0,0,0,249000,209000,40000,209000
20200612,006203,元大MSCI台灣,41.44,41.58,41.44,41.49,-0.41,-0.98,22000,3,912820,0,0,0,0,0,0,1000,22000,-21000,-21000
20200612,006204,永豐臺灣加權,56.65,57.00,56.55,56.90,-0.65,-1.13,26000,8,1481000,0,0,0,0,0,0,25000,21000,4000,4000
20200612,006205,富邦上証,28.78,29.14,28.75,29.12,-0.11,-0.38,1942131,230,56338429,482000,3000,479000,0,0,0,1334000,1356000,-22000,457000
20200612,006206,元大上證50,30.18,30.35,30.16,30.32,-0.23,-0.75,656322,84,19876018,56000,4000,52000,0,0,0,582000,383000,199000,251000
20200612,006207,FH滬深,22.72,22.99,22.71,22.98,-0.14,-0.61,361000,88,8256210,66000,3000,63000,0,0,0,276000,189000,87000,150000
20200612,006208,富邦台50,49.76,50.50,49.74,50.35,-0.50,-0.98,1295665,635,65029990,3000,4000,-1000,0,0,0,875000,590000,285000,284000
20200612,00625K,富邦上証+R,6.93,6.93,6.93,6.93,-0.14,-1.98,50000,2,346500,0,0,0,0,0,0,50000,50000,0,0
20200612,00631L,元大台灣50正2,47.66,48.73,47.25,48.49,-0.71,-1.44,11570000,3179,555916448,1587000,2029000,-442000,0,0,0,1938000,2339000,-401000,-843000
20200612,00632R,元大台灣50反1,9.87,9.89,9.73,9.76,+0.06,0.62,257395008,19467,2526509437,32511000,12791000,19720000,0,0,0,35511000,76164000,-40653000,-20933000
20200612,00633L,富邦上証正2,42.64,43.42,42.44,43.32,-0.19,-0.44,12110250,1731,518532547,907000,952000,-45000,0,0,0,4914000,4436000,478000,433000
20200612,00634R,富邦上証反1,5.64,5.66,5.58,5.58,-0.01,-0.18,1901142,242,10698988,146000,76000,70000,0,0,0,271000,342000,-71000,-1000
20200612,00635U,元大S&P黃金,24.34,24.34,24.23,24.30,-0.05,-0.21,1368200,385,33230141,7000,11000,-4000,0,0,0,287000,423000,-136000,-140000
20200612,00636,國泰中國A50,20.06,20.51,20.05,20.50,-0.04,-0.19,2512375,369,51029997,859000,375000,484000,0,0,0,1390000,517000,873000,1357000
20200612,00636K,國泰中國A50+U,6.90,6.90,6.90,6.90,-0.07,-1.0,100,1,690,0,0,0,0,0,0,100,100,0,0
20200612,00637L,元大滬深300正2,16.50,16.81,16.44,16.80,-0.06,-0.36,64924840,6519,1077652217,6295000,1611000,4684000,0,0,0,28168000,17339000,10829000,15513000
20200612,00638R,元大滬深300反1,11.30,11.35,11.22,11.22,+0.06,0.54,2267065,270,25584224,314000,29000,285000,0,0,0,1322000,922000,400000,685000
20200612,00639,富邦深100,11.50,11.66,11.40,11.66,-0.02,-0.17,2448000,226,28350357,930000,18000,912000,0,0,0,1413000,1364000,49000,961000
20200612,00640L,富邦日本正2,18.05,18.53,17.80,18.47,-0.60,-3.15,1901000,310,34556470,0,9000,-9000,0,0,0,966000,1320000,-354000,-363000
20200612,00641R,富邦日本反1,14.14,14.25,13.97,13.99,+0.17,1.23,2067034,435,29190786,552000,147000,405000,0,0,0,641000,197000,444000,849000
