date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200330,0050,元大台灣50,74.70,76.15,74.05,75.85,-0.75,-0.98,13605883,7322,1021517958,633000,1075150,-442150,114000,0,114000,2910000,5651000,-2741000,-3069150
20200330,0051,元大中型100,28.20,28.30,27.30,28.30,-0.11,-0.39,15500,18,432180,0,0,0,0,0,0,6000,5000,1000,1000
20200330,0052,富邦科技,56.80,58.25,56.80,58.25,-1.35,-2.27,132972,43,7661567,3000,2000,1000,0,0,0,111000,105000,6000,7000
20200330,0053,元大電子,34.80,34.80,33.30,33.85,-0.95,-2.73,15101,15,506182,0,0,0,0,0,0,8000,2000,6000,6000
20200330,0054,元大台商50,19.22,19.43,19.22,19.43,-0.32,-1.62,5000,4,96680,0,0,0,0,0,0,4000,1000,3000,3000
20200330,0055,元大MSCI金融,15.60,15.60,15.30,15.59,-0.06,-0.38,25000,22,386430,1000,1000,0,0,0,0,9000,0,9000,9000
20200330,0056,元大高股息,23.97,24.32,23.80,24.32,-0.03,-0.12,23158202,10426,557438233,202000,188000,14000,0,0,0,3242000,5774000,-2532000,-2518000
20200330,0057,富邦摩台,50.00,50.00,48.73,49.40,-0.85,-1.69,24000,6,1184910,0,0,0,0,0,0,22000,23000,-1000,-1000
20200330,0061,元大寶滬深,16.75,16.75,16.37,16.56,-0.20,-1.19,231654,107,3828673,9000,13000,-4000,0,0,0,62000,132000,-70000,-74000
20200330,006203,元大MSCI台灣,35.40,35.40,34.95,35.27,-0.63,-1.75,8000,7,280890,1000,0,1000,0,0,0,2000,6000,-4000,-3000
20200330,006204,永豐臺灣加權,47.67,47.67,47.67,47.67,-0.20,-0.42,6000,2,286020,0,0,0,0,0,0,5000,1000,4000,4000
20200330,006205,富邦上証,27.71,27.89,27.53,27.89,-0.35,-1.24,5051469,358,139742405,2175000,8000,2167000,0,0,0,2321000,1554000,767000,2934000
20200330,006206,元大上證50,28.36,29.10,28.36,29.00,-0.25,-0.85,118291,65,3397089,17000,53000,-36000,0,0,0,2000,1000,1000,-35000
20200330,006207,FH滬深,21.00,21.50,21.00,21.50,-0.38,-1.74,201111,37,4274017,43000,2000,41000,0,0,0,103000,125000,-22000,19000
