date,sid,name,open,high,low,close,amplitude,amplitude_ratio,capacity,transaction,turnover,foreign_dealers_buy,foreign_dealers_sell,foreign_dealers_total,investment_trust_buy,investment_trust_sell,investment_trust_total,dealer_buy,dealer_sell,dealer_total,institutional_investors_total
20200415,0050,元大台灣50,81.25,81.50,81.00,81.20,+0.25,0.31,17361116,7137,1410800897,1745125,307000,1438125,28000,0,28000,6234000,5013000,1221000,2687125
20200415,0051,元大中型100,31.20,31.67,31.20,31.60,+0.40,1.28,40575,24,1276387,0,0,0,0,0,0,22000,7000,15000,15000
20200415,0052,富邦科技,62.80,63.00,62.50,62.95,+0.55,0.88,151893,55,9552959,0,0,0,14000,0,14000,116000,116000,0,14000
20200415,0053,元大電子,36.70,36.87,36.70,36.82,+0.34,0.93,24000,10,883200,0,0,0,0,0,0,20000,0,20000,20000
20200415,0054,元大台商50,21.32,21.54,21.31,21.49,+0.26,1.22,14000,8,300090,0,0,0,0,0,0,11000,1000,10000,10000
20200415,0055,元大MSCI金融,16.66,16.88,16.66,16.80,+0.30,1.82,56238,44,943086,0,0,0,0,0,0,0,1000,-1000,-1000
20200415,0056,元大高股息,26.20,26.48,26.19,26.47,+0.42,1.61,38186993,15089,1007222642,54000,359000,-305000,391000,0,391000,10890000,7817000,3073000,3159000
20200415,0057,富邦摩台,53.40,53.40,53.35,53.40,+0.60,1.14,30000,4,1601750,0,0,0,0,0,0,20000,30000,-10000,-10000
20200415,0061,元大寶滬深,17.22,17.31,17.11,17.11,-0.08,-0.47,508786,328,8740394,0,0,0,0,0,0,77000,296000,-219000,-219000
20200415,006203,元大MSCI台灣,38.09,38.27,38.09,38.13,+0.42,1.11,73000,15,2787200,0,0,0,0,0,0,71000,70000,1000,1000
20200415,006204,永豐臺灣加權,51.40,51.65,51.40,51.65,+0.35,0.68,12000,3,619550,0,0,0,0,0,0,12000,0,12000,12000
20200415,006205,富邦上証,28.55,28.70,28.36,28.47,-0.06,-0.21,4143884,2601,118023187,497000,29000,468000,0,0,0,2686000,1882345,803655,1271655
20200415,006206,元大上證50,29.75,29.93,29.71,29.88,+0.13,0.44,396028,212,11810649,3000,3000,0,0,0,0,335000,205000,130000,130000
20200415,006207,FH滬深,22.15,22.28,22.15,22.16,+0.01,0.05,257000,127,5706870,6000,0,6000,0,0,0,215000,107000,108000,114000
20200415,006208,富邦台50,46.31,46.62,46.31,46.50,+0.23,0.5,863048,441,40137531,2000,0,2000,0,0,0,309000,644000,-335000,-333000
20200415,00625K,富邦上証+R,6.77,6.77,6.77,6.77,-0.02,-0.29,50000,2,338500,0,0,0,0,0,0,50000,50000,0,0
20200415,00631L,元大台灣50正2,39.72,40.14,39.53,39.87,+0.34,0.86,13084073,3328,521124177,272000,161000,111000,0,0,0,3200000,3816000,-616000,-505000
20200415,00632R,元大台灣50反1,10.95,11.00,10.89,10.92,-0.07,-0.64,183175350,18053,2002834829,9727000,25105000,-15378000,0,0,0,34388000,51600000,-17212000,-32590000
20200415,00633L,富邦上証正2,38.91,39.18,38.51,38.57,0.00,0.00,11469645,1964,444914406,1237000,308000,929000,430000,0,430000,4262000,2945645,1316355,2675355
20200415,00634R,富邦上証反1,5.99,6.01,5.96,6.00,0.00,0.00,1967000,224,11779800,0,10000,-10000,0,0,0,433000,213000,220000,210000
20200415,00635U,元大S&P黃金,24.93,24.94,24.80,24.92,-0.14,-0.56,2911865,1035,72398801,1000,890000,-889000,0,0,0,217000,443000,-226000,-1115000
20200415,00636,國泰中國A50,19.85,19.93,19.77,19.87,+0.07,0.35,2118528,833,42071346,1000,1000,0,0,0,0,1359000,1709922,-350922,-350922
20200415,00636K,國泰中國A50+U,6.57,6.57,6.57,6.57,+0.04,0.61,100,1,657,0,0,0,0,0,0,100,100,0,0
20200415,00637L,元大滬深300正2,14.96,15.10,14.84,14.87,-0.03,-0.2,67086600,6527,1003410988,782000,2505000,-1723000,1025000,0,1025000,13532000,23239000,-9707000,-10405000
20200415,00638R,元大滬深300反1,12.14,12.16,12.02,12.12,-0.01,-0.08,1519000,177,18359990,153000,34000,119000,0,0,0,739000,155000,584000,703000
20200415,00639,富邦深100,10.90,11.02,10.90,10.96,+0.08,0.74,2225000,1171,24368535,0,0,0,0,0,0,1515000,1682000,-167000,-167000
20200415,00640L,富邦日本正2,15.49,15.76,15.47,15.54,-0.01,-0.06,1552000,271,24250450,0,0,0,0,0,0,844000,732000,112000,112000
20200415,00641R,富邦日本反1,15.53,15.57,15.38,15.49,-0.04,-0.26,1981000,328,30669400,245000,9000,236000,0,0,0,1173000,359000,814000,1050000
20200415,00642U,元大S&P石油,8.50,8.71,8.50,8.64,-0.03,-0.35,125776611,16267,1084551676,709000,507000,202000,0,0,0,10684000,32380000,-21696000,-21494000
20200415,00643,群益深証中小,13.10,13.35,13.05,13.34,+0.37,2.85,2049012,1022,27096589,57000,95000,-38000,0,0,0,732000,750000,-18000,-56000
20200415,00643K,群益深証中小+R,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200415,00645,富邦日本,18.81,18.92,18.71,18.82,+0.02,0.11,104100,23,1963049,0,0,0,0,0,0,68000,88000,-20000,-20000
20200415,00646,元大S&P500,25.95,26.00,25.89,25.92,+0.19,0.74,3242191,885,84079424,126000,2000,124000,0,0,0,657000,760000,-103000,21000
20200415,00647L,元大S&P500正2,30.14,30.30,30.00,30.15,+0.39,1.31,1729000,476,52107230,3000,3000,0,0,0,0,720000,463000,257000,257000
20200415,00648R,元大S&P500反1,11.79,11.82,11.75,11.80,-0.08,-0.67,5628382,686,66286688,52000,0,52000,0,0,0,812000,3190000,-2378000,-2326000
20200415,00650L,FH香港正2,22.25,22.38,21.92,21.99,-0.26,-1.17,457000,159,10136750,82000,34000,48000,0,0,0,179000,160000,19000,67000
20200415,00651R,FH香港反1,8.68,8.96,8.68,8.96,+0.09,1.01,678000,110,6029250,3000,25000,-22000,0,0,0,486000,228000,258000,236000
20200415,00652,富邦印度,17.10,17.18,17.00,17.15,+0.06,0.35,484052,176,8264680,0,0,0,0,0,0,12000,285000,-273000,-273000
20200415,00653L,富邦印度正2,16.00,16.00,15.54,15.87,+0.07,0.44,6759250,1533,106663839,0,0,0,0,0,0,608000,3745000,-3137000,-3137000
20200415,00654R,富邦印度反1,16.29,16.33,16.10,16.12,-0.17,-1.04,379000,141,6144280,0,0,0,0,0,0,128000,13000,115000,115000
20200415,00655L,國泰中國A50正2,28.09,28.41,27.87,27.95,-0.04,-0.14,4482027,1050,126113006,39000,1000,38000,0,0,0,1825000,2359027,-534027,-496027
20200415,00656R,國泰中國A50反1,10.93,11.01,10.92,11.00,+0.01,0.09,204000,38,2236340,0,39000,-39000,0,0,0,154000,15000,139000,100000
20200415,00657,國泰日經225,24.58,24.58,24.58,24.58,+0.04,0.16,100000,2,2458000,0,0,0,0,0,0,100000,100000,0,0
20200415,00657K,國泰日經225+U,8.13,8.13,8.13,8.13,+0.05,0.62,100,1,813,0,0,0,0,0,0,100,100,0,0
20200415,00660,元大歐洲50,20.63,20.67,20.56,20.60,-0.08,-0.39,83000,44,1710550,0,0,0,0,0,0,19000,57000,-38000,-38000
20200415,00661,元大日經225,,,,,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
20200415,00662,富邦NASDAQ,33.49,33.49,33.35,33.40,+0.74,2.27,710917,366,23762785,1000,1000,0,0,0,0,0,450000,-450000,-450000
20200415,00663L,國泰臺灣加權正2,35.24,35.81,35.16,35.54,+0.49,1.4,385000,82,13652840,0,0,0,0,0,0,151000,208000,-57000,-57000
20200415,00664R,國泰臺灣加權反1,12.47,12.50,12.37,12.45,-0.05,-0.4,8959000,940,111268710,0,0,0,0,0,0,2501000,4124000,-1623000,-1623000
20200415,00665L,富邦恒生國企正2,20.70,21.06,20.62,20.68,-0.36,-1.71,132000,58,2742090,0,0,0,0,0,0,60000,50000,10000,10000
20200415,00666R,富邦恒生國企反1,13.67,13.73,13.67,13.73,-0.01,-0.07,85000,4,1166750,1000,0,1000,0,0,0,80000,84000,-4000,-3000
20200415,00668,國泰美國道瓊,25.90,26.00,25.85,25.95,+0.07,0.27,602000,338,15595000,0,0,0,0,0,0,53000,322000,-269000,-269000
20200415,00668K,國泰美國道瓊+U,8.61,8.61,8.61,8.61,+0.05,0.58,100,1,861,0,0,0,0,0,0,100,100,0,0
20200415,00669R,國泰美國道瓊反1,12.73,12.76,12.70,12.76,0.00,0.00,10015000,1478,127501750,0,23000,-23000,0,0,0,2051000,2194000,-143000,-166000
20200415,00670L,富邦NASDAQ正2,39.20,39.46,39.00,39.20,+1.49,3.95,3097015,788,121464855,30000,30000,0,0,0,0,1573000,789000,784000,784000
20200415,00671R,富邦NASDAQ反1,10.22,10.25,10.19,10.22,-0.22,-2.11,2388000,577,24404040,0,0,0,0,0,0,129000,1525000,-1396000,-1396000
20200415,00672L,元大S&P原油正2,3.50,3.72,3.50,3.51,-0.41,-10.46,168250246,25884,602001388,32000,38000,-6000,0,0,0,827000,3563000,-2736000,-2742000
20200415,00673R,元大S&P原油反1,27.43,27.83,27.43,27.63,+2.06,8.06,3845025,729,105970420,1001000,37000,964000,0,0,0,1229000,814000,415000,1379000
20200415,00674R,元大S&P黃金反1,13.96,14.03,13.93,13.98,+0.11,0.79,1884000,381,26350100,0,8000,-8000,0,0,0,293000,1155000,-862000,-870000
20200415,00675L,富邦臺灣加權正2,15.40,15.64,15.35,15.51,+0.20,1.31,783000,260,12121180,0,0,0,0,0,0,265000,280000,-15000,-15000
20200415,00676R,富邦臺灣加權反1,6.74,6.76,6.69,6.71,-0.06,-0.89,7711000,924,51782540,0,0,0,0,0,0,1695000,3547000,-1852000,-1852000
20200415,00677U,富邦VIX,6.81,6.83,6.73,6.75,-0.26,-3.71,229673626,22835,1556441981,8729000,20636000,-11907000,0,0,0,9440000,8303000,1137000,-10770000
